run_file,model,dataset,sae_id,mode,seed,compute_max_per_turn,steering_used,n_examples,threshold,feature,strength,max_act,resolved_proxy_rate,avg_num_questions,necessity_precision,necessity_recall,resolved_dialog_rate,overall_weighted_score
ambik_9b_steered_seed42_feat778_str2.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,42,False,True,100,0.65,778,2.0,,0.24,1.23,0.4746,0.5957,,0.5805
ambik_9b_steered_seed42_feat631_str10.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,42,False,True,100,0.65,631,10.0,,0.0,0.0,,0.0,,0.1
ambik_9b_steered_seed42_feat540_str4.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,42,False,True,100,0.65,540,4.0,,0.26,1.22,0.5085,0.6383,,0.6002
ambik_9b_steered_seed42_feat631_str4.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,42,False,True,100,0.65,631,4.0,,0.0,0.02,0.5,0.0213,,0.2542
ambik_9b_steered_seed50_feat631_str3.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,50,False,True,100,0.65,631,3.0,,0.06,0.41,0.5517,0.3404,,0.4488
ambik_9b_steered_seed50_feat540_str3.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,50,False,True,100,0.65,540,3.0,,0.24,1.13,0.4828,0.5957,,0.5803
ambik_9b_steered_seed50_feat778_str1.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,50,False,True,100,0.65,778,1.0,,0.2,1.08,0.5091,0.5957,,0.5806
ambik_9b_steered_seed42_feat778_str3.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,42,False,True,100,0.65,778,3.0,,0.21,1.21,0.5179,0.617,,0.5822
ambik_9b_steered_seed50_feat631_str2.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,50,False,True,100,0.65,631,2.0,,0.2,0.96,0.4643,0.5532,,0.5558
ambik_9b_steered_seed42_feat550_str4.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,42,False,True,100,0.65,550,4.0,,0.21,0.88,0.5098,0.5532,,0.5729
ambik_9b_steered_seed50_feat540_str1.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,50,False,True,100,0.65,540,1.0,,0.29,1.29,0.5152,0.7234,,0.6368
ambik_9b_steered_seed50_feat778_str4.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,50,False,True,100,0.65,778,4.0,,0.24,1.18,0.5273,0.617,,0.5925
ambik_9b_steered_seed42_feat158_str3.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,42,False,True,100,0.65,158,3.0,,0.28,1.34,0.4615,0.6383,,0.5841
ambik_9b_steered_seed50_feat294_str4.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,50,False,True,100,0.65,294,4.0,,0.25,1.26,0.4923,0.6809,,0.6155
ambik_seed50_n100_baseline_featNone.json,gemma-2-9b-it,ambik_calib_100.csv,,proxy,50,,False,100,0.65,,,,0.22,1.06,0.459,0.5957,,0.5786
ambik_9b_steered_seed50_feat124_str1.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,50,False,True,100,0.65,124,1.0,,0.25,1.21,0.4754,0.617,,0.5898
ambik_9b_steered_seed42_feat294_str2.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,42,False,True,100,0.65,294,2.0,,0.29,1.23,0.4688,0.6383,,0.5978
ambik_9b_steered_seed42_feat124_str10.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,42,False,True,100,0.65,124,10.0,,0.0,0.0,,0.0,,0.1
ambik_9b_steered_seed50_feat308_str2.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,50,False,True,100,0.65,308,2.0,,0.21,0.89,0.4909,0.5745,,0.5879
ambik_9b_steered_seed50_feat294_str2.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,50,False,True,100,0.65,294,2.0,,0.29,1.35,0.5,0.7021,,0.6281
ambik_9b_steered_seed42_feat158_str1.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,42,False,True,100,0.65,158,1.0,,0.25,1.18,0.5,0.6383,,0.5938
ambik_9b_steered_seed42_feat540_str2.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,42,False,True,100,0.65,540,2.0,,0.25,1.26,0.5075,0.7234,,0.6342
ambik_9b_steered_seed42_feat778_str10.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,42,False,True,100,0.65,778,10.0,,0.11,0.64,0.359,0.2979,,0.4281
ambik_9b_steered_seed42_feat124_str3.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,42,False,True,100,0.65,124,3.0,,0.0,0.01,0.0,0.0,,0.2534
ambik_9b_steered_seed42_feat124_str4.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,42,False,True,100,0.65,124,4.0,,0.0,0.0,,0.0,,0.1
ambik_9b_steered_seed50_feat158_str1.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,50,False,True,100,0.65,158,1.0,,0.28,1.36,0.4776,0.6809,,0.6113
ambik_9b_steered_seed50_feat540_str4.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,50,False,True,100,0.65,540,4.0,,0.28,1.17,0.5082,0.6596,,0.6108
ambik_9b_steered_seed50_feat550_str4.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,50,False,True,100,0.65,550,4.0,,0.22,0.96,0.5345,0.6596,,0.6252
ambik_9b_steered_seed50_feat550_str2.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,50,False,True,100,0.65,550,2.0,,0.26,1.37,0.4776,0.6809,,0.6215
ambik_9b_steered_seed50_feat124_str2.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,50,False,True,100,0.65,124,2.0,,0.21,0.92,0.5094,0.5745,,0.5734
ambik_9b_steered_seed42_feat308_str2.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,42,False,True,100,0.65,308,2.0,,0.21,1.03,0.431,0.5319,,0.5525
ambik_9b_steered_seed42_feat294_str4.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,42,False,True,100,0.65,294,4.0,,0.26,1.22,0.5156,0.7021,,0.6293
ambik_9b_steered_seed50_feat294_str1.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,50,False,True,100,0.65,294,1.0,,0.29,1.36,0.5217,0.766,,0.6595
ambik_9b_steered_seed42_feat308_str3.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,42,False,True,100,0.65,308,3.0,,0.0,0.0,,0.0,,0.1
ambik_9b_steered_seed42_feat158_str2.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,42,False,True,100,0.65,158,2.0,,0.22,1.27,0.4776,0.6809,,0.6061
ambik_9b_steered_seed42_feat158_str4.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,42,False,True,100,0.65,158,4.0,,0.24,1.29,0.5152,0.7234,,0.6341
ambik_9b_steered_seed42_feat550_str1.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,42,False,True,100,0.65,550,1.0,,0.27,1.34,0.4706,0.6809,,0.6081
ambik_9b_steered_seed42_feat124_str2.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,42,False,True,100,0.65,124,2.0,,0.18,1.01,0.4717,0.5319,,0.557
ambik_9b_steered_seed42_feat631_str3.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,42,False,True,100,0.65,631,3.0,,0.11,0.44,0.5,0.2979,,0.46
ambik_9b_steered_seed50_feat308_str3.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,50,False,True,100,0.65,308,3.0,,0.0,0.0,,0.0,,0.1
ambik_9b_steered_seed50_feat631_str4.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,50,False,True,100,0.65,631,4.0,,0.0,0.01,0.0,0.0,,0.202
ambik_9b_steered_seed42_feat124_str1.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,42,False,True,100,0.65,124,1.0,,0.25,1.36,0.5079,0.6809,,0.6135
ambik_9b_steered_seed42_feat550_str3.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,42,False,True,100,0.65,550,3.0,,0.25,1.13,0.4545,0.5319,,0.5656
ambik_9b_steered_seed50_feat158_str3.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,50,False,True,100,0.65,158,3.0,,0.26,1.33,0.5075,0.7234,,0.6294
ambik_9b_steered_seed50_feat158_str4.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,50,False,True,100,0.65,158,4.0,,0.29,1.26,0.4706,0.6809,,0.6192
